name,state,reason
"Bowler's Country Club",IN,not-a-course
"Studebaker Park",IN,not-a-course
"Eagle Pointe Back 9",IN,not-a-course
"Mad Anthony III's Short Course",IN,short-course
"Disk Golf Course",IN,disc-golf
