name,state,reason
"Del Web Golf Course",CA,par3-exec-noncourse
"The Institute LLC",CA,par3-exec-noncourse
"Leisure Village Golf Course",CA,par3-exec-noncourse
"Anneberg Golf Course",CA,par3-exec-noncourse
"Cypress Point Golf Course",CA,par3-exec-noncourse
"Sands Avenue Country Club",CA,par3-exec-noncourse
"Spartan Golf Complex",CA,par3-exec-noncourse
"Golf Development Complex",CA,par3-exec-noncourse
"Horse Thief Golf",CA,par3-exec-noncourse
"Whites Bridge Country Club",CA,par3-exec-noncourse
"Bass Lake Golf Course",CA,par3-exec-noncourse
"Allen’s Golf Course",CA,par3-exec-noncourse
"Primm Valley Golf Club",CA,par3-exec-noncourse
"Phoenix Lake Golf Course",CA,par3-exec-noncourse
"Sea Pines Golf Course",CA,par3-exec-noncourse
"The Riviera Hills Restaurant, Lounge and Recreation Club",CA,par3-exec-noncourse
"Catalina Island Golf Course",CA,par3-exec-noncourse
