name,state,reason
"Cato Park Golf Course",WV,par3-nine
"Putt-Putt Golf",WV,non-course-minigolf
"Pipestem Resort State Park Short Course",WV,par3-short
"Grand Vue Park Golf Course",WV,par3-noncourse
