id,name,state,reason
adobe-dam-family-golf-center,Adobe Dam Family Golf Center,AZ,junk (range/practice/mini-golf/academy) — not a mappable golf course
asu-driving-range,ASU Driving Range,AZ,junk (range/practice/mini-golf/academy) — not a mappable golf course
continental-driving-range,Continental Driving Range,AZ,junk (range/practice/mini-golf/academy) — not a mappable golf course
sierra-vista-golf-center-at-pueblo-del-sol,Sierra Vista Golf Center at Pueblo del Sol,AZ,junk (range/practice/mini-golf/academy) — not a mappable golf course
valley-golf-center,Valley Golf Center,AZ,junk (range/practice/mini-golf/academy) — not a mappable golf course
