id,name,state,city
prince-george-golf-course,Prince George Golf Course,VA,Disputanta
amelia-golf-country-club,Amelia Golf & Country Club,VA,Amelia Court House
meadows-farms-golf-course,Meadows Farms Golf Course,VA,Locust Grove
heronwood,Heronwood,VA,Upperville
nottoway-river-country-club,Nottoway River Country Club,VA,Blackstone
ole-monterey-golf-club,Ole Monterey Golf Club,VA,Roanoke
bedford-country-club,Bedford Country Club,VA,Bedford
brickshire-golf-club,Brickshire Golf Club,VA,Providence Forge
quinton-oaks,Quinton Oaks,VA,Callao
loch-lowman-golf-course,Loch Lowman Golf Course,VA,Radford
salem-golf-course,Salem Golf Course,VA,Salem
herndon-centennial-golf-course,Herndon Centennial Golf Course,VA,Herndon
pete-dye-river-course-of-virginia-tech,Pete Dye River Course of Virginia Tech,VA,Radford
westfields-golf-club,Westfields Golf Club,VA,Clifton
greendale-golf-course,Greendale Golf Course,VA,Alexandria
belle-haven-country-club,Belle Haven Country Club,VA,Alexandria
mount-vernon-country-club-2,Mount Vernon Country Club,VA,Alexandria
penderbrook-golf-course,Penderbrook Golf Course,VA,Fairfax
chantilly-national-golf-and-country-club,Chantilly National Golf and Country Club,VA,Centreville
country-club-of-fairfax,Country Club Of Fairfax,VA,Fairfax
four-seasons-golf-center,Four Seasons Golf Center,VA,Fairfax
hidden-creek-country-club,Hidden Creek Country Club,VA,Reston
country-club-of-culpeper,Country Club of Culpeper,VA,Culpeper
the-golf-club-of-virginia-at-beacon-hill,The Golf Club of Virginia at Beacon Hill,VA,Leesburg
caverns-country-club-resort,Caverns Country Club Resort,VA,Luray
front-royal-golf-club,Front Royal Golf Club,VA,Front Royal
hermitage-country-club,Hermitage Country Club,VA,Manakin-Sabot
glenmore-country-club,Glenmore Country Club,VA,Keswick
colonial-heritage-golf-club,Colonial Heritage Golf Club,VA,Williamsburg
williamsburg-national-golf-club-the-jamestown-co,Williamsburg National Golf Club - The Jamestown Course,VA,Williamsburg
two-rivers-golf-course-2,Two Rivers Golf Course,VA,Williamsburg
stonehouse-golf-club,Stonehouse Golf Club,VA,Toano
greenbrier-country-club,Greenbrier Country Club,VA,Chesapeake
river-creek-golf-course,River Creek Golf Course,VA,Leesburg
royal-new-kent-golf-club,Royal New Kent Golf Club,VA,Providence Forge
kiln-creek-country-club,Kiln Creek Country Club,VA,Newport News
regency-at-dominion-valley,Regency at Dominion Valley,VA,Haymarket
riverfront-golf-club,Riverfront Golf Club,VA,Suffolk
reston-national-golf-course,Reston National Golf Course,VA,Reston
heron-ridge-golf-club,Heron Ridge Golf Club,VA,Virginia Beach
skyland-lakes-golf-club,Skyland Lakes Golf Club,VA,Fancy Gap
dogwood-trace-golf-course,Dogwood Trace Golf Course,VA,Petersburg
lynch-link,Lynch Link,VA,Meadowview
chesapeake-golf-and-country-club,Chesapeake Golf and Country Club,VA,Chesapeake
green-hills-golf-course-3,Green Hills Golf Course,VA,Stanardsville
the-country-club-of-virginia-tuckahoe-creek,The Country Club of Virginia - Tuckahoe Creek,VA,Richmond
aquia-harbour-golf-club,Aquia Harbour Golf Club,VA,Stafford
ivy-hill-golf-club,Ivy Hill Golf Club,VA,Forest
shenvalee-miller-course,Shenvalee Miller Course,VA,New Market
birkdale-golf-club-2,Birkdale Golf Club,VA,Chesterfield
brandermill-country-club,Brandermill Country Club,VA,Midlothian
williamsburg-national-golf-club-the-yorktown-cou,Williamsburg National Golf Club - The Yorktown Course,VA,Williamsburg
heritage-oaks-golf-course,Heritage Oaks Golf Course,VA,Harrisonburg
montclair-country-club,Montclair Country Club,VA,Montclair
evergreen-country-club,Evergreen Country Club,VA,Haymarket
stoney-creek-golf-course,Stoney Creek Golf Course,VA,Nellysford
devil-s-knob-golf-course-2,Devil's Knob Golf Course,VA,Wintergreen
the-golf-club-at-the-highlands,The Golf Club at the Highlands,VA,Chesterfield
potomac-shores-golf-club,Potomac Shores Golf Club,VA,Potomac Shores
cheatham-annex-deer-cove-golf-course,Cheatham Annex Deer Cove Golf Course,VA,Williamsburg
